F vs T	p vs T
-7.6366246205436505	"[0.00502513 0.00502513 0.00502513 0.00502513 0.00502513 0.00502513
 0.00502513 0.00502513 0.00502513 0.00502513 0.00502513 0.00502513
 0.00502513 0.00502513 0.00502513 0.00502513 0.00502513 0.00502513
 0.00502513 0.00502513 0.00502513 0.00502513 0.00502513 0.00502513
 0.00502513 0.00502513 0.00502513 0.00502513 0.00502513 0.00502513
 0.00502513 0.00502513 0.00502513 0.00502513 0.00502513 0.00502513
 0.00502513 0.00502513 0.00502513 0.00502513 0.00502513 0.00502513
 0.00502513 0.00502513 0.00502513 0.00502513 0.00502513 0.00502513
 0.00502513 0.00502513 0.00502513 0.00502513 0.00502513 0.00502513
 0.00502513 0.00502513 0.00502513 0.00502513 0.00502513 0.00502513
 0.00502513 0.00502513 0.00502513 0.00502513 0.00502513 0.00502513
 0.00502513 0.00502513 0.00502513 0.00502513 0.00502513 0.00502513
 0.00502513 0.00502513 0.00502513 0.00502513 0.00502513 0.00502513
 0.00502513 0.00502513 0.00502513 0.00502513 0.00502513 0.00502513
 0.00502513 0.00502513 0.00502513 0.00502513 0.00502513 0.00502513
 0.00502513 0.00502513 0.00502513 0.00502513 0.00502513 0.00502513
 0.00502513 0.00502513 0.00502513 0.00502513 0.00502513 0.00502513
 0.00502513 0.00502513 0.00502513 0.00502513 0.00502513 0.00502513
 0.00502513 0.00502513 0.00502513 0.00502513 0.00502513 0.00502513
 0.00502513 0.00502513 0.00502513 0.00502513 0.00502513 0.00502513
 0.00502513 0.00502513 0.00502513 0.00502513 0.00502513 0.00502513
 0.00502513 0.00502513 0.00502513 0.00502513 0.00502513 0.00502513
 0.00502513 0.00502513 0.00502513 0.00502513 0.00502513 0.00502513
 0.00502513 0.00502513 0.00502513 0.00502513 0.00502513 0.00502513
 0.00502513 0.00502513 0.00502513 0.00502513 0.00502513 0.00502513
 0.00502513 0.00502513 0.00502513 0.00502513 0.00502513 0.00502513
 0.00502513 0.00502513 0.00502513 0.00502513 0.00502513 0.00502513
 0.00502513 0.00502513 0.00502513 0.00502513 0.00502513 0.00502513
 0.00502513 0.00502513 0.00502513 0.00502513 0.00502513 0.00502513
 0.00502513 0.00502513 0.00502513 0.00502513 0.00502513 0.00502513
 0.00502513 0.00502513 0.00502513 0.00502513 0.00502513 0.00502513
 0.00502513 0.00502513 0.00502513 0.00502513 0.00502513 0.00502513
 0.00502513 0.00502513 0.00502513 0.00502513 0.00502513 0.00502513
 0.00502513]"
-6.872914422500322	"[0.0050255  0.00502942 0.0050255  0.0050255  0.0050255  0.0050255
 0.0050255  0.0050255  0.00502942 0.00503726 0.0050255  0.00502942
 0.0050255  0.0050255  0.0050255  0.00503334 0.0050255  0.0050255
 0.00502942 0.00502942 0.0050255  0.0050255  0.0050255  0.0050255
 0.0050255  0.0050255  0.0050255  0.00502942 0.0050255  0.00502942
 0.0050255  0.0050255  0.00502942 0.00502942 0.0050255  0.0050255
 0.0050255  0.0050255  0.0050255  0.0050255  0.0050255  0.00502942
 0.0050255  0.0050255  0.00502942 0.00503334 0.0050255  0.0050255
 0.0050255  0.0050255  0.0050255  0.0050255  0.00502942 0.00502942
 0.00502942 0.0050255  0.00502942 0.0050255  0.0050255  0.0050255
 0.0050255  0.00502942 0.0050255  0.0050255  0.0050255  0.0050255
 0.00502942 0.00502942 0.0050255  0.0050255  0.0050255  0.00503334
 0.0050255  0.0050255  0.0050255  0.00503334 0.00502942 0.0050255
 0.00502942 0.0050255  0.0050255  0.0050255  0.0050255  0.0050255
 0.0050255  0.00502158 0.00502158 0.0050255  0.0050255  0.0050255
 0.00502158 0.00502158 0.00502158 0.00502158 0.0050255  0.0050255
 0.00502158 0.00502158 0.00502158 0.00502158 0.00502158 0.00502158
 0.0050255  0.0050255  0.00502158 0.0050255  0.0050255  0.0050255
 0.00502158 0.00502158 0.00502158 0.00502158 0.00502158 0.00502158
 0.00502158 0.0050255  0.0050255  0.00502158 0.00502158 0.00502158
 0.00502158 0.00502158 0.00502158 0.00502942 0.00502158 0.00502158
 0.00502158 0.00502158 0.0050255  0.0050255  0.00502158 0.00502158
 0.00502158 0.00502158 0.00502158 0.00502158 0.0050255  0.00502158
 0.0050255  0.0050255  0.0050255  0.0050255  0.00502158 0.00502158
 0.00502158 0.00502158 0.00502158 0.00502158 0.0050255  0.0050255
 0.00502158 0.00502158 0.00502158 0.0050255  0.00502158 0.00502158
 0.00502158 0.00502158 0.00502158 0.00502942 0.0050255  0.0050255
 0.00502942 0.00502158 0.00502942 0.00502942 0.0050255  0.0050255
 0.0050255  0.0050255  0.0050255  0.0050255  0.00502158 0.0050255
 0.0050255  0.00502942 0.00502942 0.00502942 0.00502942 0.00502942
 0.00502942 0.00502158 0.00502942 0.00502942 0.00502942 0.00502158
 0.0050255  0.0050255  0.00502942 0.00502158 0.00502158 0.00502158
 0.00502158 0.00502158 0.00502158 0.00502158 0.00502158 0.00502158
 0.00502158]"
-6.109204841369647	"[0.00502598 0.00503488 0.00502598 0.00502598 0.00502598 0.00502598
 0.00502598 0.00502598 0.00503488 0.00505269 0.00502598 0.00503488
 0.00502598 0.00502598 0.00502598 0.00504379 0.00502598 0.00502598
 0.00503488 0.00503488 0.00502598 0.00502598 0.00502598 0.00502598
 0.00502598 0.00502598 0.00502598 0.00503488 0.00502598 0.00503488
 0.00502598 0.00502598 0.00503488 0.00503488 0.00502598 0.00502598
 0.00502598 0.00502598 0.00502598 0.00502598 0.00502598 0.00503488
 0.00502598 0.00502598 0.00503488 0.00504379 0.00502598 0.00502598
 0.00502598 0.00502598 0.00502598 0.00502598 0.00503488 0.00503488
 0.00503488 0.00502598 0.00503488 0.00502598 0.00502598 0.00502598
 0.00502598 0.00503488 0.00502598 0.00502598 0.00502598 0.00502598
 0.00503488 0.00503488 0.00502598 0.00502598 0.00502598 0.00504379
 0.00502598 0.00502598 0.00502598 0.00504379 0.00503488 0.00502598
 0.00503488 0.00502598 0.00502598 0.00502598 0.00502598 0.00502598
 0.00502598 0.00501707 0.00501707 0.00502598 0.00502598 0.00502598
 0.00501707 0.00501707 0.00501707 0.00501707 0.00502598 0.00502598
 0.00501707 0.00501707 0.00501707 0.00501707 0.00501707 0.00501707
 0.00502598 0.00502598 0.00501707 0.00502598 0.00502598 0.00502598
 0.00501707 0.00501707 0.00501707 0.00501707 0.00501707 0.00501707
 0.00501707 0.00502598 0.00502598 0.00501707 0.00501707 0.00501707
 0.00501707 0.00501707 0.00501707 0.00503488 0.00501707 0.00501707
 0.00501707 0.00501707 0.00502598 0.00502598 0.00501707 0.00501707
 0.00501707 0.00501707 0.00501707 0.00501707 0.00502598 0.00501707
 0.00502598 0.00502598 0.00502598 0.00502598 0.00501707 0.00501707
 0.00501707 0.00501707 0.00501707 0.00501707 0.00502598 0.00502598
 0.00501707 0.00501707 0.00501707 0.00502598 0.00501707 0.00501707
 0.00501707 0.00501707 0.00501707 0.00503488 0.00502598 0.00502598
 0.00503488 0.00501707 0.00503488 0.00503488 0.00502598 0.00502598
 0.00502598 0.00502598 0.00502598 0.00502598 0.00501707 0.00502598
 0.00502598 0.00503488 0.00503488 0.00503488 0.00503488 0.00503488
 0.00503488 0.00501707 0.00503488 0.00503488 0.00503488 0.00501707
 0.00502598 0.00502598 0.00503488 0.00501707 0.00501707 0.00501707
 0.00501707 0.00501707 0.00501707 0.00501707 0.00501707 0.00501707
 0.00501707]"
-5.3454961706580715	"[0.00502695 0.00504174 0.00502656 0.00502656 0.00502666 0.00502656
 0.00502656 0.00502656 0.00504169 0.00507249 0.00502656 0.00504188
 0.00502661 0.00502661 0.00502656 0.00505838 0.00502656 0.00502661
 0.00504169 0.00504305 0.00502656 0.00502656 0.00502666 0.00502661
 0.00502656 0.00502656 0.00502656 0.00504179 0.00502656 0.00504174
 0.00502666 0.00502656 0.00504174 0.00504174 0.00502656 0.00502661
 0.00502661 0.00502656 0.00502695 0.00502656 0.00502661 0.00504305
 0.00502656 0.00502656 0.00504179 0.00505697 0.00502671 0.00502671
 0.00502676 0.00502656 0.00502661 0.00502661 0.00504188 0.00504174
 0.00504179 0.00502656 0.00504184 0.00502656 0.00502661 0.00502661
 0.00502676 0.00504169 0.00502656 0.00502656 0.00502666 0.00502656
 0.00504179 0.00504174 0.00502661 0.00502666 0.00502676 0.00505833
 0.00502661 0.00502661 0.00502661 0.00505716 0.00504305 0.00502656
 0.00504184 0.00502627 0.00502607 0.00502627 0.00502646 0.00502627
 0.00502627 0.00501138 0.00501143 0.00502651 0.00502646 0.00502646
 0.00501148 0.00501138 0.00501148 0.00501148 0.00502646 0.00502646
 0.00501143 0.00501143 0.00501134 0.00501134 0.00501129 0.00501129
 0.00502646 0.00502646 0.00501143 0.00502627 0.00502637 0.00502637
 0.00501143 0.00501148 0.00501012 0.00501012 0.00501012 0.00501129
 0.00501012 0.00502642 0.00502642 0.00501143 0.00501143 0.00501012
 0.00501012 0.00501012 0.00501148 0.0050414  0.00501148 0.00501148
 0.00501148 0.00501138 0.00502646 0.00502646 0.00501138 0.00501138
 0.00501138 0.00501143 0.00501138 0.00501143 0.00502646 0.00501143
 0.00502627 0.00502646 0.00502627 0.00502627 0.00501148 0.00501012
 0.00501012 0.00501148 0.00501138 0.00501138 0.00502637 0.00502637
 0.00501134 0.00501134 0.00501134 0.00502651 0.00501143 0.00501143
 0.00501143 0.00501012 0.00501143 0.00504184 0.00502666 0.00502666
 0.00504179 0.00501153 0.00504184 0.00504184 0.00502666 0.00502666
 0.00502651 0.00502651 0.00502656 0.00502656 0.00501158 0.00502666
 0.00502666 0.00504276 0.00504276 0.00504276 0.00504276 0.00504276
 0.00504276 0.00501163 0.00504276 0.00504276 0.00504276 0.00501153
 0.00502666 0.00502666 0.00504276 0.00501134 0.00501134 0.00501138
 0.00501138 0.00501153 0.0050107  0.00501075 0.0050107  0.0050107
 0.00501075]"
-4.581786463853602	"[0.00503068 0.00506735 0.00502868 0.00502868 0.00502918 0.00502868
 0.00502868 0.00502868 0.0050671  0.00514719 0.00502868 0.0050681
 0.00502893 0.00502893 0.00502868 0.00511368 0.00502868 0.00502893
 0.0050671  0.00507409 0.00502868 0.00502868 0.00502918 0.00502893
 0.00502868 0.00502868 0.00502868 0.0050676  0.00502868 0.00506735
 0.00502918 0.00502868 0.00506735 0.00506735 0.00502868 0.00502893
 0.00502893 0.00502868 0.00503068 0.00502868 0.00502893 0.00507409
 0.00502868 0.00502868 0.0050676  0.00510644 0.00502943 0.00502943
 0.00502968 0.00502868 0.00502893 0.00502893 0.0050681  0.00506735
 0.0050676  0.00502868 0.00506785 0.00502868 0.00502893 0.00502893
 0.00502968 0.0050671  0.00502868 0.00502868 0.00502918 0.00502868
 0.0050676  0.00506735 0.00502893 0.00502918 0.00502968 0.00511343
 0.00502893 0.00502893 0.00502893 0.00510744 0.00507409 0.00502868
 0.00506785 0.00502719 0.00502619 0.00502719 0.00502818 0.00502719
 0.00502719 0.0049902  0.00499045 0.00502843 0.00502818 0.00502818
 0.0049907  0.0049902  0.0049907  0.0049907  0.00502818 0.00502818
 0.00499045 0.00499045 0.00498995 0.00498995 0.0049897  0.0049897
 0.00502818 0.00502818 0.00499045 0.00502719 0.00502769 0.00502769
 0.00499045 0.0049907  0.00498371 0.00498371 0.00498371 0.0049897
 0.00498371 0.00502793 0.00502793 0.00499045 0.00499045 0.00498371
 0.00498371 0.00498371 0.0049907  0.0050656  0.0049907  0.0049907
 0.0049907  0.0049902  0.00502818 0.00502818 0.0049902  0.0049902
 0.0049902  0.00499045 0.0049902  0.00499045 0.00502818 0.00499045
 0.00502719 0.00502818 0.00502719 0.00502719 0.0049907  0.00498371
 0.00498371 0.0049907  0.0049902  0.0049902  0.00502769 0.00502769
 0.00498995 0.00498995 0.00498995 0.00502843 0.00499045 0.00499045
 0.00499045 0.00498371 0.00499045 0.00506785 0.00502918 0.00502918
 0.0050676  0.00499095 0.00506785 0.00506785 0.00502918 0.00502918
 0.00502843 0.00502843 0.00502868 0.00502868 0.0049912  0.00502918
 0.00502918 0.00507259 0.00507259 0.00507259 0.00507259 0.00507259
 0.00507259 0.00499145 0.00507259 0.00507259 0.00507259 0.00499095
 0.00502918 0.00502918 0.00507259 0.00498995 0.00498995 0.0049902
 0.0049902  0.00499095 0.0049867  0.00498695 0.0049867  0.0049867
 0.00498695]"
-3.8180828081492733	"[0.00503257 0.00507774 0.00502956 0.00502956 0.00503032 0.00502956
 0.00502956 0.00502956 0.00507737 0.00517755 0.00502956 0.00507887
 0.00502994 0.00502994 0.00502956 0.00513735 0.00502956 0.00502994
 0.00507737 0.00508789 0.00502956 0.00502956 0.00503032 0.00502994
 0.00502956 0.00502956 0.00502956 0.00507812 0.00502956 0.00507774
 0.00503032 0.00502956 0.00507774 0.00507774 0.00502956 0.00502994
 0.00502994 0.00502956 0.00503257 0.00502956 0.00502994 0.00508789
 0.00502956 0.00502956 0.00507812 0.00512645 0.00503069 0.00503069
 0.00503107 0.00502956 0.00502994 0.00502994 0.00507887 0.00507774
 0.00507812 0.00502956 0.00507849 0.00502956 0.00502994 0.00502994
 0.00503107 0.00507737 0.00502956 0.00502956 0.00503032 0.00502956
 0.00507812 0.00507774 0.00502994 0.00503032 0.00503107 0.00513697
 0.00502994 0.00502994 0.00502994 0.00512795 0.00508789 0.00502956
 0.00507849 0.00502731 0.0050258  0.00502731 0.00502881 0.00502731
 0.00502731 0.00498155 0.00498192 0.00502919 0.00502881 0.00502881
 0.0049823  0.00498155 0.0049823  0.0049823  0.00502881 0.00502881
 0.00498192 0.00498192 0.00498117 0.00498117 0.0049808  0.0049808
 0.00502881 0.00502881 0.00498192 0.00502731 0.00502806 0.00502806
 0.00498192 0.0049823  0.00497177 0.00497177 0.00497177 0.0049808
 0.00497177 0.00502844 0.00502844 0.00498192 0.00498192 0.00497177
 0.00497177 0.00497177 0.0049823  0.00507511 0.0049823  0.0049823
 0.0049823  0.00498155 0.00502881 0.00502881 0.00498155 0.00498155
 0.00498155 0.00498192 0.00498155 0.00498192 0.00502881 0.00498192
 0.00502731 0.00502881 0.00502731 0.00502731 0.0049823  0.00497177
 0.00497177 0.0049823  0.00498155 0.00498155 0.00502806 0.00502806
 0.00498117 0.00498117 0.00498117 0.00502919 0.00498192 0.00498192
 0.00498192 0.00497177 0.00498192 0.00507849 0.00503032 0.00503032
 0.00507812 0.00498268 0.00507849 0.00507849 0.00503032 0.00503032
 0.00502919 0.00502919 0.00502956 0.00502956 0.00498305 0.00503032
 0.00503032 0.00508564 0.00508564 0.00508564 0.00508564 0.00508564
 0.00508564 0.00498343 0.00508564 0.00508564 0.00508564 0.00498268
 0.00503032 0.00503032 0.00508564 0.00498117 0.00498117 0.00498155
 0.00498155 0.00498268 0.00497628 0.00497666 0.00497628 0.00497628
 0.00497666]"
-3.0543840044031665	"[0.00503637 0.00508597 0.0050305  0.0050305  0.00503205 0.0050305
 0.0050305  0.0050305  0.0050852  0.00520347 0.0050305  0.00508822
 0.00503128 0.00503128 0.0050305  0.00516384 0.0050305  0.00503128
 0.0050852  0.00510592 0.0050305  0.0050305  0.00503197 0.00503128
 0.0050305  0.0050305  0.0050305  0.00508675 0.0050305  0.00508597
 0.00503205 0.0050305  0.00508597 0.00508597 0.0050305  0.00503128
 0.00503128 0.0050305  0.00503637 0.0050305  0.00503128 0.00510592
 0.0050305  0.0050305  0.00508675 0.00514235 0.00503283 0.00503283
 0.00503352 0.0050305  0.00503128 0.00503128 0.0050883  0.00508597
 0.00508675 0.0050305  0.00508752 0.0050305  0.00503128 0.00503128
 0.00503352 0.0050852  0.0050305  0.0050305  0.00503205 0.0050305
 0.00508675 0.00508597 0.00503128 0.00503197 0.00503352 0.00516306
 0.00503128 0.00503128 0.00503128 0.00514545 0.00510592 0.0050305
 0.00508752 0.0050261  0.00502324 0.0050261  0.00502911 0.0050261
 0.0050261  0.00497406 0.00497483 0.00502989 0.00502911 0.00502911
 0.00497561 0.00497406 0.00497561 0.00497561 0.00502911 0.00502911
 0.00497483 0.00497483 0.00497328 0.00497328 0.00497251 0.00497251
 0.00502911 0.00502911 0.00497483 0.0050261  0.00502756 0.00502756
 0.00497483 0.00497561 0.00495489 0.00495489 0.00495489 0.00497251
 0.00495489 0.00502834 0.00502834 0.00497483 0.00497483 0.00495489
 0.00495489 0.00495489 0.00497561 0.00508087 0.00497561 0.00497561
 0.00497561 0.00497406 0.00502911 0.00502911 0.00497406 0.00497406
 0.00497406 0.00497483 0.00497406 0.00497483 0.00502911 0.00497483
 0.0050261  0.00502911 0.0050261  0.0050261  0.00497561 0.00495489
 0.00495489 0.00497561 0.00497406 0.00497406 0.00502756 0.00502756
 0.00497328 0.00497328 0.00497328 0.00502989 0.00497483 0.00497483
 0.00497483 0.00495489 0.00497483 0.00508752 0.00503205 0.00503205
 0.00508675 0.00497622 0.00508752 0.00508752 0.00503205 0.00503205
 0.00502973 0.00502973 0.0050305  0.0050305  0.00497699 0.00503205
 0.00503205 0.00510151 0.00510151 0.00510151 0.00510151 0.00510151
 0.00510151 0.00497777 0.00510151 0.00510151 0.00510151 0.00497622
 0.00503205 0.00503205 0.00510151 0.00497328 0.00497328 0.00497406
 0.00497406 0.00497638 0.0049637  0.00496447 0.0049637  0.0049637
 0.00496447]"
-2.2906955067804975	"[0.00504539 0.00512267 0.0050325  0.00503254 0.00503526 0.00503254
 0.00503254 0.0050325  0.00512125 0.00531584 0.00503241 0.0051277
 0.00503383 0.00503396 0.00503254 0.00528455 0.00503254 0.00503345
 0.00512125 0.0051877  0.00503254 0.00503254 0.00503461 0.00503383
 0.00503254 0.00503254 0.00503254 0.005124   0.00503254 0.00512254
 0.00503526 0.00503254 0.00512267 0.00512267 0.00503241 0.00503387
 0.00503399 0.00503254 0.00504539 0.00503254 0.00503383 0.0051877
 0.00503254 0.00503254 0.005124   0.00521435 0.00503693 0.00503693
 0.00503861 0.00503254 0.00503387 0.00503383 0.00512825 0.00512267
 0.00512381 0.00503241 0.00512587 0.00503246 0.00503387 0.00503383
 0.00503865 0.00512125 0.00503246 0.00503254 0.00503526 0.00503254
 0.005124   0.00512267 0.00503387 0.00503461 0.00503865 0.00528294
 0.00503387 0.00503383 0.00503396 0.00522153 0.0051877  0.00503254
 0.00512587 0.00502232 0.00501449 0.00502246 0.00503045 0.00502241
 0.00502241 0.00494393 0.00494521 0.00503074 0.00502971 0.00502971
 0.00494653 0.00494383 0.00494653 0.00494653 0.00502971 0.00502971
 0.00494525 0.00494525 0.00494217 0.00494217 0.00494094 0.00494094
 0.00502987 0.00502987 0.00494509 0.00502232 0.00502643 0.00502643
 0.00494512 0.00494653 0.00488452 0.00488452 0.00488448 0.00493998
 0.00488452 0.00502896 0.00502896 0.00494525 0.00494525 0.00488457
 0.00488452 0.00488457 0.00494653 0.00511352 0.00494653 0.00494653
 0.00494653 0.00494393 0.00502978 0.00502978 0.00494393 0.00494383
 0.00494393 0.00494521 0.00494393 0.00494521 0.00502987 0.00494521
 0.00502246 0.00503045 0.00502241 0.00502241 0.00494653 0.00488452
 0.00488457 0.00494653 0.00494393 0.00494383 0.00502652 0.00502652
 0.00494141 0.00494233 0.00494242 0.00503111 0.00494521 0.00494525
 0.00494525 0.00488452 0.00494512 0.00512915 0.00503666 0.00503666
 0.00512773 0.00494691 0.00512906 0.00512906 0.00503657 0.00503657
 0.00503164 0.00503164 0.00503256 0.00503256 0.00494907 0.00503666
 0.00503666 0.00517435 0.0051744  0.00517435 0.0051744  0.00517435
 0.0051744  0.00494977 0.00517435 0.00517431 0.00517435 0.00494792
 0.00503657 0.00503657 0.00517435 0.00493999 0.00493999 0.00494126
 0.00494126 0.0049472  0.00491089 0.00491225 0.00491089 0.00491089
 0.0049123 ]"
-1.527062837443284	"[0.00508323 0.00519443 0.00503307 0.00503268 0.00504212 0.00503268
 0.00503268 0.00503307 0.00518965 0.00556074 0.00503246 0.0052182
 0.00503751 0.00503761 0.00503268 0.00581615 0.00503268 0.00503809
 0.00518965 0.00560933 0.00503268 0.00503268 0.00504282 0.00503751
 0.00503268 0.00503268 0.00503268 0.0051992  0.00503268 0.00519395
 0.00504212 0.00503268 0.00519443 0.00519443 0.00503246 0.00503747
 0.00503791 0.00503268 0.00508323 0.00503268 0.00503751 0.00560933
 0.00503268 0.00503268 0.0051992  0.00536163 0.00504716 0.00504716
 0.00506032 0.00503268 0.00503747 0.00503751 0.0052233  0.00519443
 0.00519756 0.00503246 0.00520456 0.0050322  0.00503747 0.00503751
 0.00506023 0.00518965 0.0050322  0.00503268 0.00504212 0.00503268
 0.00519915 0.00519443 0.00503747 0.00504282 0.00506023 0.00581081
 0.00503747 0.00503751 0.00503761 0.0053968  0.00560933 0.00503268
 0.00520456 0.00499354 0.00496808 0.00499334 0.00502856 0.00499335
 0.00499335 0.00487474 0.00487975 0.00503032 0.00502471 0.00502471
 0.00488464 0.00487498 0.00488464 0.00488464 0.00502471 0.00502471
 0.00487972 0.00487972 0.00486981 0.00486981 0.00486458 0.00486458
 0.00502591 0.00502591 0.00487933 0.00499354 0.00500923 0.00500923
 0.00487962 0.00488464 0.00452812 0.00452812 0.0045278  0.00485225
 0.00452812 0.00501965 0.00501965 0.00487972 0.00487972 0.00452848
 0.00452815 0.00452848 0.00488464 0.0051627  0.00488464 0.00488464
 0.00488464 0.00487474 0.00502634 0.00502634 0.0048748  0.00487498
 0.00487474 0.00487975 0.00487474 0.00487975 0.00502591 0.00487975
 0.00499333 0.00502856 0.00499335 0.00499335 0.00488464 0.00452815
 0.00452848 0.00488464 0.00487474 0.00487498 0.00500902 0.00500902
 0.00485721 0.00486877 0.00486943 0.00503113 0.00487975 0.00487972
 0.00487972 0.00452815 0.00487962 0.00522712 0.00505249 0.00505249
 0.00522189 0.0048834  0.00522708 0.00522708 0.00505256 0.00505256
 0.00502837 0.00502837 0.00503452 0.00503452 0.00489135 0.00505249
 0.00505249 0.00552833 0.00552866 0.00552833 0.00552866 0.00552833
 0.00552866 0.00489889 0.00552831 0.00552798 0.00552831 0.00488566
 0.00505256 0.00505256 0.00552831 0.00485671 0.00485671 0.0048622
 0.0048622  0.00488865 0.00467697 0.00468059 0.00467697 0.00467697
 0.00468062]"
-1.3161880248679314	"[6.32340359e-05 1.35334403e-07 1.67513371e-09 1.96578705e-09
 1.00000089e-10 1.96573917e-09 1.96575124e-09 1.67486469e-09
 1.77303712e-07 7.99388878e-08 2.32658876e-09 1.16999227e-07
 4.16572888e-09 1.04206620e-03 1.96575128e-09 2.97671797e-01
 1.96599916e-09 8.41782582e-10 1.77303451e-07 1.02082330e-01
 1.96603211e-09 1.96598204e-09 6.22415667e-09 4.16596200e-09
 1.96580342e-09 1.96609755e-09 1.96586672e-09 1.20212923e-07
 1.96599969e-09 1.41873538e-07 1.00000134e-10 1.96598162e-09
 1.35334161e-07 1.35332903e-07 2.32637385e-09 1.00000765e-10
 8.42313160e-04 1.96590188e-09 6.27065906e-05 1.96589163e-09
 4.16755687e-09 1.02082317e-01 1.96600172e-09 1.96579710e-09
 1.20212904e-07 7.90136631e-08 2.85188070e-09 2.85196782e-09
 1.18241981e-08 1.96588498e-09 1.00000000e-10 4.16589677e-09
 2.79411889e-06 1.35333064e-07 1.30116846e-07 2.32620130e-09
 1.37658656e-07 2.40741973e-09 1.00000084e-10 4.16745327e-09
 1.20423972e-08 1.77303183e-07 2.40716072e-09 1.96553698e-09
 1.00000325e-10 1.96588369e-09 1.20204631e-07 1.35334443e-07
 1.00000000e-10 6.22667641e-09 1.20425126e-08 2.59610802e-01
 1.00000045e-10 4.16745322e-09 1.04181503e-03 2.70006051e-06
 1.02082319e-01 1.96600198e-09 1.37655271e-07 8.73406130e-08
 5.96015121e-08 7.71655655e-08 1.00000529e-10 8.24396759e-08
 8.24412117e-08 1.02910138e-07 1.13056099e-07 4.54385455e-08
 2.98468068e-09 2.98480195e-09 4.48973924e-08 9.97711052e-08
 4.48976858e-08 4.48973572e-08 2.98481040e-09 2.98321555e-09
 1.13084917e-07 1.13083313e-07 8.59691227e-08 8.59691719e-08
 7.44657993e-08 7.44658392e-08 1.00000434e-10 1.00000000e-10
 1.03313260e-07 8.73348448e-08 9.40555593e-08 9.40557491e-08
 9.80004422e-08 4.48974901e-08 1.00001282e-10 1.00000918e-10
 1.00001034e-10 1.00000208e-10 1.00000987e-10 3.22553256e-06
 3.41065446e-06 1.13084708e-07 1.13083245e-07 1.00000985e-10
 1.00000319e-10 1.00000350e-10 4.48975879e-08 1.00000172e-10
 4.48974902e-08 4.48974901e-08 4.48975878e-08 1.02911705e-07
 1.00000018e-10 1.00000127e-10 1.02919588e-07 9.97710066e-08
 1.02911594e-07 1.13054934e-07 1.02911646e-07 1.13056433e-07
 1.00000000e-10 1.13056437e-07 7.71596978e-08 1.00000000e-10
 8.24335578e-08 8.24369105e-08 4.48974901e-08 1.00000347e-10
 1.00000420e-10 4.48975878e-08 1.02911668e-07 9.97694119e-08
 9.44841923e-08 9.44854075e-08 1.00000436e-10 8.71582963e-08
 8.80305717e-08 4.60923775e-04 1.13056385e-07 1.13084935e-07
 1.13084790e-07 1.00000020e-10 9.80039945e-08 8.69676400e-08
 1.82271119e-04 1.82257334e-04 1.13285003e-07 6.49021964e-08
 9.72217157e-08 9.72228934e-08 5.15801693e-04 5.15802720e-04
 1.00000000e-10 1.00000129e-10 1.72574809e-09 1.72574823e-09
 1.08999097e-07 1.82270315e-04 1.82270315e-04 1.30142761e-02
 1.30151908e-02 1.30142701e-02 1.30151892e-02 1.30142654e-02
 1.30151996e-02 1.69707474e-09 1.30141757e-02 1.30132548e-02
 1.30141707e-02 4.62186805e-08 5.15810037e-04 5.15801693e-04
 1.30141749e-02 1.57494279e-07 1.57494650e-07 3.23154602e-07
 3.23154986e-07 1.23445574e-07 1.00000482e-10 1.00000149e-10
 1.00000267e-10 1.00001205e-10 1.00000000e-10]"
