identification_code	average_free_energy_component	len(pruned_CC)	pruned_clique_complex
100206	0.3843410953615482	130	[frozenset({1}), frozenset({2}), frozenset({3}), frozenset({4}), frozenset({5}), frozenset({6}), frozenset({7}), frozenset({8}), frozenset({9}), frozenset({10}), frozenset({11}), frozenset({12}), frozenset({13}), frozenset({14}), frozenset({15}), frozenset({16}), frozenset({17}), frozenset({18}), frozenset({19}), frozenset({20}), frozenset({1, 9}), frozenset({4, 7}), frozenset({8, 4}), frozenset({4, 12}), frozenset({4, 15}), frozenset({16, 4}), frozenset({4, 20}), frozenset({8, 5}), frozenset({13, 5}), frozenset({20, 5}), frozenset({8, 7}), frozenset({15, 7}), frozenset({16, 7}), frozenset({20, 7}), frozenset({8, 12}), frozenset({8, 15}), frozenset({8, 16}), frozenset({8, 20}), frozenset({16, 12}), frozenset({12, 20}), frozenset({16, 13}), frozenset({20, 14}), frozenset({16, 15}), frozenset({20, 15}), frozenset({16, 20}), frozenset({17, 19}), frozenset({17, 20}), frozenset({18, 19}), frozenset({18, 20}), frozenset({1, 2, 9}), frozenset({1, 3, 4}), frozenset({1, 3, 9}), frozenset({11, 1, 3}), frozenset({8, 1, 4}), frozenset({1, 4, 9}), frozenset({1, 11, 4}), frozenset({1, 4, 12}), frozenset({1, 4, 15}), frozenset({1, 15, 7}), frozenset({1, 10, 9}), frozenset({1, 11, 9}), frozenset({1, 12, 9}), frozenset({1, 11, 12}), frozenset({11, 2, 3}), frozenset({2, 11, 4}), frozenset({3, 4, 7}), frozenset({8, 3, 4}), frozenset({9, 3, 4}), frozenset({11, 3, 4}), frozenset({3, 4, 12}), frozenset({3, 4, 15}), frozenset({16, 3, 4}), frozenset({9, 3, 7}), frozenset({11, 3, 7}), frozenset({3, 12, 7}), frozenset({3, 15, 7}), frozenset({8, 11, 3}), frozenset({8, 3, 12}), frozenset({9, 3, 12}), frozenset({11, 3, 12}), frozenset({16, 3, 12}), frozenset({12, 4, 5}), frozenset({4, 12, 6}), frozenset({8, 4, 7}), frozenset({9, 4, 7}), frozenset({11, 4, 7}), frozenset({4, 12, 7}), frozenset({4, 15, 7}), frozenset({16, 4, 7}), frozenset({8, 11, 4}), frozenset({8, 4, 12}), frozenset({8, 4, 15}), frozenset({8, 16, 4}), frozenset({9, 11, 4}), frozenset({9, 4, 12}), frozenset({9, 4, 15}), frozenset({10, 4, 12}), frozenset({11, 4, 12}), frozenset({11, 4, 15}), frozenset({16, 11, 4}), frozenset({13, 4, 12}), frozenset({4, 12, 15}), frozenset({16, 4, 12}), frozenset({16, 4, 15}), frozenset({20, 5, 14}), frozenset({18, 20, 5}), frozenset({15, 6, 7}), frozenset({8, 12, 7}), frozenset({8, 15, 7}), frozenset({8, 16, 7}), frozenset({9, 12, 7}), frozenset({11, 12, 7}), frozenset({11, 15, 7}), frozenset({12, 15, 7}), frozenset({16, 12, 7}), frozenset({16, 15, 7}), frozenset({8, 11, 12}), frozenset({8, 12, 15}), frozenset({8, 16, 12}), frozenset({8, 16, 15}), frozenset({9, 12, 15}), frozenset({11, 12, 15}), frozenset({16, 12, 15}), frozenset({20, 13, 14}), frozenset({17, 20, 14}), frozenset({18, 20, 14}), frozenset({19, 20, 14}), frozenset({17, 18, 20}), frozenset({17, 19, 20}), frozenset({18, 19, 20})]
100307	1.1160594086484086	49	[frozenset({1}), frozenset({2}), frozenset({3}), frozenset({4}), frozenset({5}), frozenset({6}), frozenset({7}), frozenset({8}), frozenset({9}), frozenset({10}), frozenset({11}), frozenset({12}), frozenset({13}), frozenset({14}), frozenset({15}), frozenset({16}), frozenset({17}), frozenset({18}), frozenset({19}), frozenset({20}), frozenset({17, 19}), frozenset({18, 19}), frozenset({18, 20}), frozenset({1, 4, 9}), frozenset({1, 4, 15}), frozenset({1, 9, 7}), frozenset({1, 15, 7}), frozenset({1, 12, 9}), frozenset({1, 9, 15}), frozenset({1, 12, 15}), frozenset({3, 15, 7}), frozenset({4, 12, 7}), frozenset({4, 15, 7}), frozenset({9, 4, 12}), frozenset({9, 4, 15}), frozenset({4, 12, 15}), frozenset({20, 6, 14}), frozenset({19, 20, 6}), frozenset({9, 12, 7}), frozenset({9, 15, 7}), frozenset({11, 12, 7}), frozenset({12, 15, 7}), frozenset({9, 12, 15}), frozenset({17, 20, 14}), frozenset({18, 20, 14}), frozenset({19, 20, 14}), frozenset({17, 18, 20}), frozenset({17, 19, 20}), frozenset({18, 19, 20})]
100408	0.6544237193981695	86	[frozenset({1}), frozenset({2}), frozenset({3}), frozenset({4}), frozenset({5}), frozenset({6}), frozenset({7}), frozenset({8}), frozenset({9}), frozenset({10}), frozenset({11}), frozenset({12}), frozenset({13}), frozenset({14}), frozenset({15}), frozenset({16}), frozenset({17}), frozenset({18}), frozenset({19}), frozenset({20}), frozenset({1, 17}), frozenset({1, 18}), frozenset({1, 19}), frozenset({1, 20}), frozenset({18, 3}), frozenset({19, 3}), frozenset({3, 20}), frozenset({4, 12}), frozenset({4, 20}), frozenset({15, 7}), frozenset({20, 7}), frozenset({18, 11}), frozenset({19, 11}), frozenset({11, 20}), frozenset({16, 20}), frozenset({17, 18}), frozenset({17, 19}), frozenset({17, 20}), frozenset({18, 19}), frozenset({18, 20}), frozenset({19, 20}), frozenset({1, 3, 7}), frozenset({11, 1, 3}), frozenset({1, 3, 15}), frozenset({1, 4, 7}), frozenset({1, 4, 12}), frozenset({1, 4, 15}), frozenset({16, 1, 4}), frozenset({8, 1, 7}), frozenset({1, 11, 7}), frozenset({1, 12, 7}), frozenset({1, 15, 7}), frozenset({16, 1, 7}), frozenset({1, 12, 15}), frozenset({16, 1, 15}), frozenset({1, 18, 19}), frozenset({2, 15, 7}), frozenset({3, 4, 7}), frozenset({3, 4, 12}), frozenset({3, 4, 15}), frozenset({11, 3, 7}), frozenset({3, 15, 7}), frozenset({3, 12, 15}), frozenset({8, 4, 7}), frozenset({11, 4, 7}), frozenset({4, 12, 7}), frozenset({4, 15, 7}), frozenset({16, 4, 7}), frozenset({8, 4, 12}), frozenset({8, 4, 15}), frozenset({11, 4, 12}), frozenset({11, 4, 15}), frozenset({4, 12, 15}), frozenset({16, 4, 15}), frozenset({8, 15, 7}), frozenset({10, 15, 7}), frozenset({11, 15, 7}), frozenset({16, 11, 7}), frozenset({12, 15, 7}), frozenset({16, 12, 7}), frozenset({15, 13, 7}), frozenset({16, 15, 7}), frozenset({8, 12, 15}), frozenset({8, 16, 15}), frozenset({11, 12, 15}), frozenset({16, 12, 15})]
100610	0.9559202939015082	52	[frozenset({1}), frozenset({2}), frozenset({3}), frozenset({4}), frozenset({5}), frozenset({6}), frozenset({7}), frozenset({8}), frozenset({9}), frozenset({10}), frozenset({11}), frozenset({12}), frozenset({13}), frozenset({14}), frozenset({15}), frozenset({16}), frozenset({17}), frozenset({18}), frozenset({19}), frozenset({20}), frozenset({15, 7}), frozenset({17, 18}), frozenset({17, 19}), frozenset({18, 19}), frozenset({18, 20}), frozenset({19, 20}), frozenset({1, 15, 7}), frozenset({3, 4, 12}), frozenset({3, 15, 7}), frozenset({11, 4, 7}), frozenset({4, 12, 7}), frozenset({4, 15, 7}), frozenset({16, 4, 7}), frozenset({8, 4, 12}), frozenset({11, 4, 12}), frozenset({4, 12, 15}), frozenset({16, 4, 12}), frozenset({18, 20, 5}), frozenset({8, 15, 7}), frozenset({8, 16, 7}), frozenset({9, 15, 7}), frozenset({11, 12, 7}), frozenset({11, 15, 7}), frozenset({12, 15, 7}), frozenset({16, 15, 7}), frozenset({8, 12, 15}), frozenset({18, 20, 13}), frozenset({18, 20, 14}), frozenset({19, 20, 14}), frozenset({17, 18, 20}), frozenset({17, 19, 20}), frozenset({18, 19, 20})]
101006	1.109979251244806	48	[frozenset({1}), frozenset({2}), frozenset({3}), frozenset({4}), frozenset({5}), frozenset({6}), frozenset({7}), frozenset({8}), frozenset({9}), frozenset({10}), frozenset({11}), frozenset({12}), frozenset({13}), frozenset({14}), frozenset({15}), frozenset({16}), frozenset({17}), frozenset({18}), frozenset({19}), frozenset({20}), frozenset({17, 18}), frozenset({17, 19}), frozenset({18, 19}), frozenset({18, 20}), frozenset({19, 20}), frozenset({1, 4, 12}), frozenset({3, 4, 12}), frozenset({3, 15, 7}), frozenset({4, 12, 7}), frozenset({4, 15, 7}), frozenset({8, 4, 12}), frozenset({8, 4, 15}), frozenset({11, 4, 12}), frozenset({11, 4, 15}), frozenset({4, 12, 15}), frozenset({16, 4, 12}), frozenset({16, 4, 15}), frozenset({15, 6, 7}), frozenset({8, 15, 7}), frozenset({9, 15, 7}), frozenset({11, 12, 7}), frozenset({11, 15, 7}), frozenset({12, 15, 7}), frozenset({16, 15, 7}), frozenset({16, 12, 15}), frozenset({17, 18, 20}), frozenset({17, 19, 20}), frozenset({18, 19, 20})]
101107	0.17350701686089698	353	[frozenset({1}), frozenset({2}), frozenset({3}), frozenset({4}), frozenset({5}), frozenset({6}), frozenset({7}), frozenset({8}), frozenset({9}), frozenset({10}), frozenset({11}), frozenset({12}), frozenset({13}), frozenset({14}), frozenset({15}), frozenset({16}), frozenset({17}), frozenset({18}), frozenset({19}), frozenset({20}), frozenset({1, 3}), frozenset({1, 4}), frozenset({1, 7}), frozenset({8, 1}), frozenset({1, 9}), frozenset({1, 11}), frozenset({1, 12}), frozenset({1, 17}), frozenset({1, 18}), frozenset({1, 19}), frozenset({3, 4}), frozenset({3, 7}), frozenset({8, 3}), frozenset({9, 3}), frozenset({11, 3}), frozenset({3, 12}), frozenset({17, 3}), frozenset({18, 3}), frozenset({19, 3}), frozenset({3, 20}), frozenset({4, 7}), frozenset({8, 4}), frozenset({9, 4}), frozenset({11, 4}), frozenset({4, 12}), frozenset({4, 15}), frozenset({16, 4}), frozenset({17, 4}), frozenset({8, 7}), frozenset({9, 7}), frozenset({11, 7}), frozenset({12, 7}), frozenset({15, 7}), frozenset({16, 7}), frozenset({17, 7}), frozenset({8, 9}), frozenset({8, 11}), frozenset({8, 12}), frozenset({8, 15}), frozenset({8, 16}), frozenset({8, 17}), frozenset({9, 11}), frozenset({9, 12}), frozenset({9, 15}), frozenset({16, 9}), frozenset({9, 17}), frozenset({9, 18}), frozenset({9, 19}), frozenset({9, 20}), frozenset({11, 12}), frozenset({16, 11}), frozenset({17, 11}), frozenset({18, 11}), frozenset({19, 11}), frozenset({11, 20}), frozenset({12, 15}), frozenset({16, 12}), frozenset({17, 12}), frozenset({16, 15}), frozenset({16, 17}), frozenset({17, 18}), frozenset({17, 19}), frozenset({17, 20}), frozenset({18, 19}), frozenset({18, 20}), frozenset({19, 20}), frozenset({1, 2, 3}), frozenset({1, 2, 7}), frozenset({1, 2, 9}), frozenset({1, 2, 12}), frozenset({1, 2, 15}), frozenset({1, 3, 4}), frozenset({1, 3, 7}), frozenset({8, 1, 3}), frozenset({1, 3, 9}), frozenset({11, 1, 3}), frozenset({1, 3, 12}), frozenset({1, 3, 13}), frozenset({1, 3, 15}), frozenset({16, 1, 3}), frozenset({1, 3, 17}), frozenset({19, 1, 3}), frozenset({1, 4, 7}), frozenset({8, 1, 4}), frozenset({1, 4, 9}), frozenset({1, 11, 4}), frozenset({1, 4, 12}), frozenset({1, 4, 15}), frozenset({16, 1, 4}), frozenset({1, 4, 17}), frozenset({1, 5, 7}), frozenset({1, 5, 9}), frozenset({1, 12, 5}), frozenset({1, 5, 15}), frozenset({8, 1, 7}), frozenset({1, 9, 7}), frozenset({1, 11, 7}), frozenset({1, 12, 7}), frozenset({1, 15, 7}), frozenset({16, 1, 7}), frozenset({1, 17, 7}), frozenset({8, 1, 9}), frozenset({8, 1, 11}), frozenset({8, 1, 12}), frozenset({8, 1, 15}), frozenset({8, 1, 16}), frozenset({8, 1, 17}), frozenset({1, 10, 9}), frozenset({1, 11, 9}), frozenset({1, 12, 9}), frozenset({1, 13, 9}), frozenset({1, 9, 15}), frozenset({16, 1, 9}), frozenset({1, 9, 17}), frozenset({1, 18, 9}), frozenset({1, 19, 9}), frozenset({1, 20, 9}), frozenset({1, 10, 15}), frozenset({1, 11, 12}), frozenset({1, 11, 13}), frozenset({1, 11, 15}), frozenset({16, 1, 11}), frozenset({1, 11, 17}), frozenset({1, 18, 11}), frozenset({19, 1, 11}), frozenset({1, 12, 13}), frozenset({1, 12, 15}), frozenset({16, 1, 12}), frozenset({1, 12, 17}), frozenset({16, 1, 15}), frozenset({1, 17, 15}), frozenset({16, 1, 17}), frozenset({9, 2, 3}), frozenset({2, 4, 7}), frozenset({9, 2, 4}), frozenset({2, 4, 12}), frozenset({2, 4, 15}), frozenset({9, 2, 7}), frozenset({2, 15, 7}), frozenset({8, 9, 2}), frozenset({9, 2, 12}), frozenset({9, 2, 15}), frozenset({2, 12, 15}), frozenset({16, 2, 15}), frozenset({3, 4, 7}), frozenset({8, 3, 4}), frozenset({9, 3, 4}), frozenset({11, 3, 4}), frozenset({3, 4, 12}), frozenset({3, 4, 15}), frozenset({16, 3, 4}), frozenset({17, 3, 4}), frozenset({3, 5, 7}), frozenset({11, 3, 5}), frozenset({3, 12, 5}), frozenset({8, 3, 7}), frozenset({9, 3, 7}), frozenset({11, 3, 7}), frozenset({3, 12, 7}), frozenset({3, 13, 7}), frozenset({3, 15, 7}), frozenset({16, 3, 7}), frozenset({17, 3, 7}), frozenset({8, 9, 3}), frozenset({8, 11, 3}), frozenset({8, 3, 12}), frozenset({8, 3, 15}), frozenset({8, 16, 3}), frozenset({8, 17, 3}), frozenset({11, 9, 3}), frozenset({9, 3, 12}), frozenset({9, 3, 13}), frozenset({9, 3, 15}), frozenset({16, 9, 3}), frozenset({9, 3, 17}), frozenset({9, 18, 3}), frozenset({19, 9, 3}), frozenset({9, 3, 20}), frozenset({10, 3, 15}), frozenset({11, 3, 12}), frozenset({11, 3, 15}), frozenset({11, 16, 3}), frozenset({11, 17, 3}), frozenset({11, 19, 3}), frozenset({3, 12, 13}), frozenset({3, 12, 15}), frozenset({16, 3, 12}), frozenset({17, 3, 12}), frozenset({3, 13, 15}), frozenset({16, 3, 13}), frozenset({16, 3, 15}), frozenset({17, 3, 15}), frozenset({4, 5, 7}), frozenset({9, 4, 5}), frozenset({12, 4, 5}), frozenset({4, 5, 15}), frozenset({4, 6, 15}), frozenset({8, 4, 7}), frozenset({9, 4, 7}), frozenset({11, 4, 7}), frozenset({4, 12, 7}), frozenset({4, 13, 7}), frozenset({4, 15, 7}), frozenset({16, 4, 7}), frozenset({17, 4, 7}), frozenset({8, 9, 4}), frozenset({8, 11, 4}), frozenset({8, 4, 12}), frozenset({8, 4, 15}), frozenset({8, 16, 4}), frozenset({8, 17, 4}), frozenset({9, 11, 4}), frozenset({9, 4, 12}), frozenset({9, 4, 13}), frozenset({9, 4, 15}), frozenset({16, 9, 4}), frozenset({9, 4, 17}), frozenset({10, 4, 15}), frozenset({11, 4, 12}), frozenset({11, 4, 15}), frozenset({16, 11, 4}), frozenset({17, 11, 4}), frozenset({13, 4, 12}), frozenset({4, 12, 15}), frozenset({16, 4, 12}), frozenset({17, 4, 12}), frozenset({4, 13, 15}), frozenset({16, 4, 13}), frozenset({16, 4, 15}), frozenset({17, 4, 15}), frozenset({16, 17, 4}), frozenset({8, 5, 7}), frozenset({9, 5, 7}), frozenset({11, 5, 7}), frozenset({12, 5, 7}), frozenset({15, 5, 7}), frozenset({16, 5, 7}), frozenset({8, 5, 15}), frozenset({9, 5, 15}), frozenset({16, 9, 5}), frozenset({12, 5, 15}), frozenset({16, 12, 5}), frozenset({13, 5, 15}), frozenset({16, 5, 15}), frozenset({15, 6, 7}), frozenset({12, 6, 15}), frozenset({8, 9, 7}), frozenset({8, 11, 7}), frozenset({8, 12, 7}), frozenset({8, 13, 7}), frozenset({8, 15, 7}), frozenset({8, 16, 7}), frozenset({8, 17, 7}), frozenset({9, 10, 7}), frozenset({9, 11, 7}), frozenset({9, 12, 7}), frozenset({9, 13, 7}), frozenset({9, 15, 7}), frozenset({16, 9, 7}), frozenset({9, 17, 7}), frozenset({10, 15, 7}), frozenset({11, 12, 7}), frozenset({11, 13, 7}), frozenset({11, 15, 7}), frozenset({16, 11, 7}), frozenset({17, 11, 7}), frozenset({12, 13, 7}), frozenset({12, 15, 7}), frozenset({16, 12, 7}), frozenset({17, 12, 7}), frozenset({15, 13, 7}), frozenset({16, 13, 7}), frozenset({16, 15, 7}), frozenset({17, 15, 7}), frozenset({16, 17, 7}), frozenset({8, 9, 11}), frozenset({8, 9, 12}), frozenset({8, 9, 13}), frozenset({8, 9, 15}), frozenset({8, 9, 16}), frozenset({8, 9, 17}), frozenset({8, 11, 12}), frozenset({8, 11, 15}), frozenset({8, 16, 11}), frozenset({8, 17, 11}), frozenset({8, 12, 13}), frozenset({8, 12, 15}), frozenset({8, 16, 12}), frozenset({8, 17, 12}), frozenset({8, 13, 15}), frozenset({8, 16, 13}), frozenset({8, 16, 15}), frozenset({8, 17, 15}), frozenset({8, 16, 17}), frozenset({9, 10, 15}), frozenset({9, 11, 12}), frozenset({9, 11, 13}), frozenset({9, 11, 15}), frozenset({16, 9, 11}), frozenset({9, 11, 17}), frozenset({9, 18, 11}), frozenset({19, 9, 11}), frozenset({9, 11, 20}), frozenset({9, 12, 13}), frozenset({9, 12, 15}), frozenset({16, 9, 12}), frozenset({9, 12, 17}), frozenset({9, 13, 15}), frozenset({16, 9, 13}), frozenset({16, 9, 15}), frozenset({9, 17, 15}), frozenset({16, 9, 17}), frozenset({9, 18, 17}), frozenset({9, 19, 17}), frozenset({9, 18, 19}), frozenset({10, 12, 15}), frozenset({16, 10, 15}), frozenset({11, 12, 13}), frozenset({11, 12, 15}), frozenset({16, 11, 12}), frozenset({17, 11, 12}), frozenset({16, 11, 15}), frozenset({17, 11, 15}), frozenset({16, 17, 11}), frozenset({12, 13, 15}), frozenset({16, 12, 13}), frozenset({16, 12, 15}), frozenset({17, 12, 15}), frozenset({16, 17, 12}), frozenset({16, 13, 15}), frozenset({18, 20, 14}), frozenset({19, 20, 14}), frozenset({16, 17, 15})]
101309	0.8101347125971337	62	[frozenset({1}), frozenset({2}), frozenset({3}), frozenset({4}), frozenset({5}), frozenset({6}), frozenset({7}), frozenset({8}), frozenset({9}), frozenset({10}), frozenset({11}), frozenset({12}), frozenset({13}), frozenset({14}), frozenset({15}), frozenset({16}), frozenset({17}), frozenset({18}), frozenset({19}), frozenset({20}), frozenset({18, 19}), frozenset({18, 20}), frozenset({19, 20}), frozenset({1, 3, 4}), frozenset({1, 3, 12}), frozenset({1, 4, 7}), frozenset({1, 4, 9}), frozenset({1, 4, 12}), frozenset({1, 4, 15}), frozenset({1, 12, 7}), frozenset({1, 12, 9}), frozenset({1, 9, 15}), frozenset({3, 4, 7}), frozenset({11, 3, 4}), frozenset({3, 4, 15}), frozenset({9, 3, 12}), frozenset({11, 3, 12}), frozenset({9, 4, 7}), frozenset({4, 12, 7}), frozenset({4, 15, 7}), frozenset({9, 11, 4}), frozenset({9, 4, 12}), frozenset({9, 4, 15}), frozenset({11, 4, 12}), frozenset({11, 4, 15}), frozenset({4, 12, 15}), frozenset({16, 4, 12}), frozenset({16, 4, 15}), frozenset({18, 6, 14}), frozenset({19, 6, 14}), frozenset({20, 6, 14}), frozenset({18, 20, 6}), frozenset({19, 20, 6}), frozenset({9, 12, 7}), frozenset({11, 15, 7}), frozenset({9, 11, 12}), frozenset({9, 11, 15}), frozenset({11, 12, 15}), frozenset({16, 12, 15}), frozenset({17, 20, 14}), frozenset({18, 20, 14}), frozenset({19, 20, 14})]
101410	1.0652764357630014	47	[frozenset({1}), frozenset({2}), frozenset({3}), frozenset({4}), frozenset({5}), frozenset({6}), frozenset({7}), frozenset({8}), frozenset({9}), frozenset({10}), frozenset({11}), frozenset({12}), frozenset({13}), frozenset({14}), frozenset({15}), frozenset({16}), frozenset({17}), frozenset({18}), frozenset({19}), frozenset({20}), frozenset({18, 19}), frozenset({18, 20}), frozenset({19, 20}), frozenset({1, 4, 9}), frozenset({1, 4, 12}), frozenset({1, 12, 7}), frozenset({3, 4, 12}), frozenset({3, 4, 15}), frozenset({9, 3, 12}), frozenset({4, 12, 7}), frozenset({4, 15, 7}), frozenset({8, 4, 15}), frozenset({9, 4, 15}), frozenset({11, 4, 12}), frozenset({11, 4, 15}), frozenset({4, 12, 15}), frozenset({18, 20, 5}), frozenset({18, 20, 6}), frozenset({9, 12, 15}), frozenset({18, 20, 13}), frozenset({17, 18, 14}), frozenset({17, 20, 14}), frozenset({18, 20, 14}), frozenset({19, 20, 14}), frozenset({17, 18, 20}), frozenset({17, 19, 20}), frozenset({18, 19, 20})]
101915	0.40701289411089103	132	[frozenset({1}), frozenset({2}), frozenset({3}), frozenset({4}), frozenset({5}), frozenset({6}), frozenset({7}), frozenset({8}), frozenset({9}), frozenset({10}), frozenset({11}), frozenset({12}), frozenset({13}), frozenset({14}), frozenset({15}), frozenset({16}), frozenset({17}), frozenset({18}), frozenset({19}), frozenset({20}), frozenset({1, 9}), frozenset({1, 17}), frozenset({1, 18}), frozenset({1, 19}), frozenset({18, 3}), frozenset({19, 3}), frozenset({8, 4}), frozenset({4, 12}), frozenset({16, 4}), frozenset({4, 20}), frozenset({8, 7}), frozenset({15, 7}), frozenset({16, 7}), frozenset({18, 7}), frozenset({19, 7}), frozenset({20, 7}), frozenset({8, 12}), frozenset({8, 16}), frozenset({8, 20}), frozenset({9, 17}), frozenset({9, 18}), frozenset({9, 19}), frozenset({18, 11}), frozenset({19, 11}), frozenset({16, 12}), frozenset({12, 20}), frozenset({16, 13}), frozenset({18, 15}), frozenset({20, 15}), frozenset({16, 18}), frozenset({16, 19}), frozenset({16, 20}), frozenset({17, 18}), frozenset({17, 19}), frozenset({18, 19}), frozenset({18, 20}), frozenset({19, 20}), frozenset({1, 2, 4}), frozenset({1, 2, 9}), frozenset({1, 4, 9}), frozenset({1, 4, 12}), frozenset({1, 15, 7}), frozenset({1, 10, 9}), frozenset({2, 4, 12}), frozenset({2, 15, 7}), frozenset({3, 4, 7}), frozenset({3, 4, 12}), frozenset({3, 4, 15}), frozenset({16, 3, 4}), frozenset({8, 3, 7}), frozenset({3, 12, 7}), frozenset({3, 13, 7}), frozenset({3, 15, 7}), frozenset({16, 3, 7}), frozenset({8, 3, 15}), frozenset({11, 3, 12}), frozenset({11, 3, 15}), frozenset({11, 16, 3}), frozenset({3, 12, 15}), frozenset({16, 3, 15}), frozenset({12, 4, 5}), frozenset({4, 6, 15}), frozenset({8, 4, 7}), frozenset({11, 4, 7}), frozenset({4, 12, 7}), frozenset({4, 15, 7}), frozenset({16, 4, 7}), frozenset({8, 4, 12}), frozenset({8, 4, 15}), frozenset({8, 16, 4}), frozenset({9, 4, 12}), frozenset({9, 4, 15}), frozenset({11, 4, 12}), frozenset({11, 4, 15}), frozenset({16, 11, 4}), frozenset({13, 4, 12}), frozenset({4, 12, 15}), frozenset({16, 4, 12}), frozenset({20, 4, 12}), frozenset({4, 13, 15}), frozenset({16, 4, 15}), frozenset({15, 5, 7}), frozenset({15, 6, 7}), frozenset({9, 6, 15}), frozenset({8, 12, 7}), frozenset({8, 15, 7}), frozenset({8, 16, 7}), frozenset({9, 15, 7}), frozenset({16, 9, 7}), frozenset({11, 12, 7}), frozenset({11, 15, 7}), frozenset({16, 11, 7}), frozenset({12, 13, 7}), frozenset({12, 15, 7}), frozenset({16, 12, 7}), frozenset({15, 13, 7}), frozenset({16, 13, 7}), frozenset({16, 15, 7}), frozenset({18, 15, 7}), frozenset({19, 15, 7}), frozenset({15, 20, 7}), frozenset({8, 12, 15}), frozenset({8, 16, 12}), frozenset({8, 16, 15}), frozenset({9, 11, 15}), frozenset({11, 12, 15}), frozenset({16, 11, 12}), frozenset({16, 11, 15}), frozenset({16, 12, 15}), frozenset({17, 18, 20}), frozenset({17, 19, 20}), frozenset({18, 19, 20})]
102008	0.5642558423342737	90	[frozenset({1}), frozenset({2}), frozenset({3}), frozenset({4}), frozenset({5}), frozenset({6}), frozenset({7}), frozenset({8}), frozenset({9}), frozenset({10}), frozenset({11}), frozenset({12}), frozenset({13}), frozenset({14}), frozenset({15}), frozenset({16}), frozenset({17}), frozenset({18}), frozenset({19}), frozenset({20}), frozenset({1, 17}), frozenset({1, 18}), frozenset({1, 19}), frozenset({2, 19}), frozenset({18, 3}), frozenset({19, 3}), frozenset({4, 12}), frozenset({18, 4}), frozenset({4, 20}), frozenset({15, 7}), frozenset({8, 16}), frozenset({18, 11}), frozenset({19, 11}), frozenset({12, 20}), frozenset({16, 18}), frozenset({16, 20}), frozenset({17, 18}), frozenset({17, 19}), frozenset({18, 19}), frozenset({18, 20}), frozenset({19, 20}), frozenset({1, 2, 9}), frozenset({1, 3, 4}), frozenset({1, 4, 7}), frozenset({1, 4, 9}), frozenset({1, 11, 4}), frozenset({1, 4, 12}), frozenset({1, 4, 15}), frozenset({16, 1, 4}), frozenset({1, 15, 7}), frozenset({8, 1, 9}), frozenset({1, 12, 9}), frozenset({1, 9, 15}), frozenset({1, 18, 19}), frozenset({3, 4, 7}), frozenset({11, 3, 4}), frozenset({3, 4, 12}), frozenset({11, 3, 12}), frozenset({8, 4, 7}), frozenset({9, 4, 7}), frozenset({11, 4, 7}), frozenset({4, 12, 7}), frozenset({4, 15, 7}), frozenset({16, 4, 7}), frozenset({8, 4, 12}), frozenset({8, 16, 4}), frozenset({9, 11, 4}), frozenset({9, 4, 12}), frozenset({9, 4, 15}), frozenset({11, 4, 12}), frozenset({11, 4, 15}), frozenset({4, 12, 15}), frozenset({16, 4, 12}), frozenset({20, 4, 12}), frozenset({16, 4, 15}), frozenset({18, 20, 5}), frozenset({19, 20, 5}), frozenset({8, 11, 7}), frozenset({8, 12, 7}), frozenset({8, 15, 7}), frozenset({8, 16, 7}), frozenset({9, 12, 7}), frozenset({12, 15, 7}), frozenset({16, 12, 7}), frozenset({16, 15, 7}), frozenset({9, 11, 12}), frozenset({18, 20, 14}), frozenset({19, 20, 14}), frozenset({17, 18, 20}), frozenset({18, 19, 20})]
